Disease,Plant,Causal_Organism,Organic_Treatment_1,Organic_Treatment_2,Organic_Treatment_3,Organic_Treatment_4,Chemical_Treatment_1,Chemical_Treatment_2,Chemical_Treatment_3,Chemical_Treatment_4,Source
Bacterial Blight,Cotton,Xanthomonas axonopodis pv. malvacearum,Hot water seed treatment 52°C for 30 min,Bordeaux mixture 1% (copper-based),Pseudomonas fluorescens 5g/kg seed treatment (ICAR),Neem cake @ 500kg/ha soil application,Streptomycin sulfate 90SP @ 0.5g/L (ICAR),Copper oxychloride 50WP @ 3g/L (TNAU),Kasugamycin 3SL @ 2ml/L,Carboxin 75WP seed treatment @ 2.5g/kg seed (TNAU),TNAU Fungicide PDF / ICAR
Bacterial Canker,Mango,Xanthomonas campestris pv. mangiferaeindicae,Bordeaux mixture 1% spray,Copper hydroxide paste on pruning cuts,Prune 15cm below infected area; burn prunings,Trichoderma viride soil drench,Copper oxychloride 50WP @ 3g/L (TNAU),Streptomycin sulfate + Tetracycline @ 0.5g/L,Kasugamycin 3SL @ 2ml/L,Copper hydroxide 77WP @ 2g/L (TNAU Fungicide PDF),TNAU/ICAR
Bacterial Leaf Spot,Pumpkin,Pseudomonas syringae / Xanthomonas sp.,Copper Bordeaux mixture 1%,Neem oil 5ml/L spray,Remove and burn infected leaves,Crop rotation with non-host crops,Copper oxychloride 50WP @ 3g/L (TNAU),Streptomycin sulfate 90SP @ 0.5g/L,Mancozeb 75WP @ 2.5g/L,Kasugamycin 3SL @ 2ml/L,TNAU/ICAR
Bacterial Spot,Peach,Xanthomonas arboricola pv. pruni,Bordeaux mixture 1% during dormancy,Copper hydroxide spray,Remove and destroy infected plant material,Good orchard sanitation,Copper hydroxide 77WP @ 2g/L (TNAU Fungicide PDF),Oxytetracycline 200ppm @ 0.5g/L,Streptomycin sulfate 90SP @ 0.5g/L,Ziram 76WG @ 2ml/L,TNAU Fungicide PDF / ICAR
Bacterial Spot,Pepper (bell),Xanthomonas vesicatoria,Copper Bordeaux mixture 1%,Pseudomonas fluorescens 5ml/L spray (ICAR-IIHR),Seed treatment: hot water 50°C 25 min,Neem oil 5ml/L,Copper oxychloride 50WP @ 3g/L (TNAU),Mancozeb 75WP @ 2.5g/L,Kasugamycin 3SL @ 2ml/L,Streptomycin sulfate 90SP @ 0.5g/L,TNAU/ICAR-NCIPM
Bacterial Spot,Tomato,Xanthomonas campestris pv. vesicatoria,Pseudomonas fluorescens + Trichoderma harzianum @ 5g/L seedling dip (ICAR-NCIPM 2023),Copper Bordeaux mixture 1%,Neem cake @ 500kg/ha soil application,Trichoderma viride FYM enriched 2kg/t,Copper oxychloride 50WP @ 2.5g/L (ICAR seedling dip formula),Kasugamycin 3SL @ 2ml/L,Streptomycin + Tetracycline @ 0.5g/L,Thiamethoxam 25WG + Captan 75WP @ 1g/L seedling dip (ICAR-NCIPM),ICAR-NCIPM Indian Horticulture 2023
BacterialBlights,Sugarcane,Xanthomonas albilineans,Hot water sett treatment 50°C 2 hrs,Trichoderma viride @ 5g/L soil drench,Roguing of infected plants,Use certified disease-free setts,Copper oxychloride 50WP @ 3g/L (TNAU Expert System),Streptomycin sulfate @ 1g/L,Carbendazim 50WP @ 1g/L,Blitox (copper oxychloride) 50WP @ 2-3g/L,TNAU Expert System Sugarcane
Bactrocera tsuneonis,Citrus,Bactrocera tsuneonis (Citrus fruit fly),Methyl eugenol pheromone traps 25/ha,Protein bait traps,Neem oil 5ml/L spray,Collect and destroy fallen fruits,"Spinosad, Malathion, Dimethoate",Spinosad 45SC @ 0.5ml/L,Dimethoate 30EC @ 2ml/L,Malathion 50EC @ 2ml/L bait spray,TNAU/ICAR
beet army worm,Beet / Vegetables,Spodoptera exigua (Noctuidae),BT (Bacillus thuringiensis var. kurstaki) 1kg/ha,NPV spray 250LE/ha,Pheromone traps 10/ha,Light traps 2/ha,"Bacillus thuringiensis, Methoxyfenozide, Spinosad",Methoxyfenozide 240SC @ 1ml/L,Spinosad 45SC @ 0.5ml/L,Emamectin benzoate 5SG @ 0.4g/L,TNAU/ICAR
beet fly,Beet / Leafy vegetables,Pegomya hyoscyami (Agromyzidae leaf miner fly),Neem oil 5ml/L spray,Yellow sticky traps 10/ha,Remove and destroy mined leaves,Crop rotation,"Carbaryl, Methomyl, Dimethoate",Methomyl 40SP @ 1g/L,Dimethoate 30EC @ 2ml/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR
Beet spot flies,Beet / Vegetables,Pegomya betae (Anthomyiidae),Neem oil 5ml/L spray,Yellow sticky traps,Remove mined leaves,Crop rotation,"Dimethoate, Chlorpyrifos, Carbaryl",Chlorpyrifos 20EC @ 2ml/L,Carbaryl 50WP @ 2g/L,Dimethoate 30EC @ 2ml/L,TNAU/ICAR
beet weevil,Beet / Root crops,Bothynoderes punctiventris (Curculionidae),Neem oil 5ml/L spray,NSKE 5% spray,Deep ploughing in summer,Crop rotation,"Chlorpyrifos, Carbaryl, Diazinon",Carbaryl 50WP @ 2g/L,Diazinon 50EC @ 2ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
beetle,Multiple crops,Various Coleoptera spp.,Neem oil 5ml/L spray,NSKE 5% spray,Hand picking of adults,Light traps 2/ha,"Imidacloprid, Carbaryl, Malathion, Cypermethrin",Carbaryl 50WP @ 2g/L,Malathion 50EC @ 2ml/L,Cypermethrin 25EC @ 1ml/L,TNAU/ICAR
bird cherry-oataphid,Wheat / Oat / Cereals,Rhopalosiphum padi (Aphididae),Neem oil 5ml/L spray,NSKE 5% spray,Release ladybird beetles,Soap water spray,"Imidacloprid, Thiamethoxam, Dinotefuran, Acetamiprid",Thiamethoxam 25WG @ 0.3g/L,Dinotefuran 20SG @ 0.3g/L,Acetamiprid 20SP @ 0.5g/L,TNAU/ICAR
black cutworm,Maize / Vegetables / Turf,Agrotis ipsilon (Noctuidae),BT (Bacillus thuringiensis) 1kg/ha,Neem oil 5ml/L spray,Light traps 2/ha,Deep summer ploughing,"Chlorantraniliprole, Flubendiamide, Emamectin benzoate",Flubendiamide 20WG @ 0.5g/L,Emamectin benzoate 5SG @ 0.4g/L,Chlorpyrifos 20EC @ 2ml/L soil drench,TNAU/ICAR
Black hairy,Multiple crops,Spilosoma obliqua / Amsacta moorei (Arctiidae),BT (Bacillus thuringiensis) 1kg/ha,Light traps 2/ha,Hand picking of egg masses,Neem oil 5ml/L spray,"Carbaryl, Malathion, Permethrin, Cyfluthrin",Malathion 50EC @ 2ml/L,Permethrin 25EC @ 1ml/L,Cyfluthrin 25WP @ 1g/L,TNAU/ICAR
Black Rot,Apple,Botryosphaeria obtusa,Bordeaux mixture 1% spray,Lime sulfur 1% dormant spray,Remove and destroy mummified fruit,Prune out cankered wood,Captan 50WP @ 2.5kg/ha [TNAU Fungicide PDF],Captan 75WP @ 1.67kg/ha,Myclobutanil 10WP @ 1g/L,Thiophanate-methyl 70WP @ 1g/L,TNAU Fungicide PDF
Black Rot,Cauliflower,Xanthomonas campestris pv. campestris,Hot water seed treatment 50°C 20 min,Trichoderma viride @ 5g/L seed treatment,Neem cake @ 250kg/ha (ICAR-NCIPM),Crop rotation with cereals,Copper oxychloride 50WP @ 3g/L (TNAU),Mancozeb 75WP @ 2g/L,Kasugamycin 3SL @ 2ml/L,Streptomycin sulfate 90SP @ 0.5g/L,TNAU/ICAR
Black Rot,Grape,Guignardia bidwellii,Bordeaux mixture 1%,Neem oil 5ml/L spray,Remove infected berries and mummified fruits,Sulfur dust application,Mancozeb 75WP @ 2.5g/L (TNAU Fungicide PDF),Captan 50WP @ 2.5kg/ha,Tebuconazole 25EC @ 1ml/L,Carbendazim 50WP @ 300g/ha (TNAU),TNAU Fungicide PDF
Black Spot,Jackfruit,Colletotrichum sp. / Phomopsis sp.,Neem oil 5ml/L spray,Bordeaux mixture 1%,Remove and burn infected fruits,Improve orchard drainage,Carbendazim 50WP @ 1g/L,Mancozeb 75WP @ 2.5g/L (TNAU),Copper oxychloride 50WP @ 3g/L,Azoxystrobin 23SC @ 0.1% (TNAU Fungicide PDF),TNAU Fungicide PDF
blister beetle,Vegetables / Legumes,Mylabris pustulata / Epicauta spp. (Meloidae),Hand picking of adults (wear gloves),Neem oil 5ml/L spray,Light traps 2/ha,NSKE 5% spray,"Carbaryl, Malathion, Pyrethrin, Permethrin",Malathion 50EC @ 2ml/L,Pyrethrin 5EC @ 1ml/L,Permethrin 25EC @ 1ml/L,TNAU/ICAR
bollworm,Cotton / Tomato / Chickpea,Helicoverpa armigera / Earias vittella (Noctuidae),HaNPV 250LE/ha spray,Trichogramma release 1.5 lakh/ha,BT 1kg/ha spray,Pheromone traps 10-12/ha,"Chlorantraniliprole, Emamectin benzoate, Spinosad, Indoxacarb",Emamectin benzoate 5SG @ 0.4g/L,Spinosad 45SC @ 0.5ml/L,Indoxacarb 14.5SC @ 1ml/L,TNAU/ICAR-NCIPM
Brevipoalpus lewisi McGregor,Grape / Citrus,Brevipalpus lewisi (Tenuipalpidae - flat mite),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release predatory mites,"Abamectin, Bifenazate, Fenpyroximate, Spiromesifen",Bifenazate 43SC @ 1ml/L,Fenpyroximate 5EC @ 1ml/L,Spiromesifen 22.9SC @ 0.5ml/L,TNAU/ICAR
brown plant hopper,Rice,Nilaparvata lugens (Delphacidae),Neem oil 5ml/L spray,NSKE 5% spray,Maintain proper water management,Release Cyrtorhinus parasitoid,"Imidacloprid, Chlorpyrifos, Buprofezin, Thiamethoxam",Buprofezin 25SC @ 1ml/L,Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Rice IPM
BrownSpot,Rice,Bipolaris oryzae (Helminthosporium oryzae),Silicon-based fertilizer application (ICAR TNAU),Trichoderma viride seed treatment 5g/kg,Neem cake @ 250kg/ha (ICAR),Pseudomonas fluorescens seed treatment (ICAR-NBAIM),Mancozeb 75WP @ 2.5g/L — EC50 value highly effective (Nature Sci Reports 2020),Carbendazim 50WP @ 1g/L (TNAU Fungicide PDF),Propiconazole 25EC @ 1ml/L,Fluopyram + Tebuconazole (Nativo) — best EC50 vs B.oryzae (Sci Reports 2020),TNAU/Nature Scientific Reports 2020
cabbage army worm,Cabbage / Crucifer crops,Mamestra brassicae (Noctuidae),BT (Bacillus thuringiensis var. kurstaki) 1kg/ha,NPV spray 250LE/ha,Hand picking of egg masses,Neem oil 5ml/L spray,"Bacillus thuringiensis, Spinosad, Methomyl, Chlorantraniliprole",Spinosad 45SC @ 0.5ml/L,Methomyl 40SP @ 1g/L,Chlorantraniliprole 18.5SC @ 0.3ml/L,TNAU/ICAR
Cedar Apple Rust,Apple,Gymnosporangium juniperi-virginianae,Remove nearby juniper/cedar trees (primary host),Neem oil 5ml/L spray,Sulfur dust application,Bordeaux mixture 1%,Myclobutanil 10WP @ 1g/L (TNAU),Triadimefon 25WP @ 1g/L,Mancozeb 75WP @ 2g/L,Tebuconazole 25EC @ 1ml/L,TNAU Fungicide PDF
Cercospora Leaf Spot / Gray Leaf Spot,Corn (maize),Cercospora zeae-maydis,Trichoderma viride soil application,Neem oil 5ml/L foliar spray,Crop rotation with non-host crops,Remove and compost infected crop debris,Propiconazole 25EC @ 1ml/L (TNAU Fungicide PDF),Azoxystrobin 23SC @ 500ml/ha,Mancozeb 75WP @ 2.5g/L,Carbendazim 50WP @ 1g/L,TNAU Fungicide PDF / ICAR
cerodonta denticornis,Rice / Cereals,Cerodonta denticornis (Agromyzidae leaf miner),Neem oil 5ml/L spray,Yellow sticky traps 10/ha,Remove and destroy mined tillers,NSKE 5% spray,"Imidacloprid, Thiacloprid, Thiamethoxam, Dinotefuran",Thiacloprid 21.7SC @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,Dinotefuran 20SG @ 0.3g/L,TNAU/ICAR
Ceroplastes rubens,Citrus / Mango / Tea,Ceroplastes rubens (Red wax scale - Coccidae),Neem oil 5ml/L spray,Soap water spray 10g/L,NSKE 5% spray,Release Metaphycus parasitoid,"Imidacloprid, Acetamiprid, Buprofezin, Thiamethoxam",Buprofezin 25SC @ 1ml/L,Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
Chlumetia transversa,Mango,Chlumetia transversa (Mango shoot borer),Neem oil 5ml/L spray,NSKE 5% spray,Prune and destroy infested shoots,Light traps 2/ha,"Imidacloprid, Chlorpyrifos, Cypermethrin, Acetamiprid",Chlorpyrifos 20EC @ 2ml/L,Cypermethrin 25EC @ 1ml/L,Acetamiprid 20SP @ 0.5g/L,TNAU/ICAR Mango IPM
Chrysomphalus aonidum,Citrus / Mango,Chrysomphalus aonidum (Florida red scale - Diaspididae),Neem oil 5ml/L spray,Soap water spray 10g/L,NSKE 5% spray,Release Aphytis parasitoid,"Imidacloprid, Abamectin, Acetamiprid, Buprofezin",Abamectin 1.8EC @ 0.5ml/L,Acetamiprid 20SP @ 0.5g/L,Buprofezin 25SC @ 1ml/L,TNAU/ICAR
Cicadella viridis,Rice / Grasses / Vegetables,Cicadella viridis (Green leafhopper - Cicadellidae),Neem oil 5ml/L spray,Yellow sticky traps 10/ha,NSKE 5% spray,Remove weed hosts,"Imidacloprid, Thiacloprid, Dinotefuran, Thiamethoxam",Thiacloprid 21.7SC @ 0.5ml/L,Dinotefuran 20SG @ 0.3g/L,Thiamethoxam 25WG @ 0.3g/L,TNAU/ICAR
Cicadellidae,Rice / Grapes / Vegetables,Cicadellidae family (Leafhoppers - general),Neem oil 5ml/L spray,Yellow sticky traps 10/ha,NSKE 5% spray,Remove weed hosts,"Imidacloprid, Thiacloprid, Dinotefuran, Thiamethoxam",Thiacloprid 21.7SC @ 0.5ml/L,Dinotefuran 20SG @ 0.3g/L,Thiamethoxam 25WG @ 0.3g/L,TNAU/ICAR
Colomerus vitis,Grape,Colomerus vitis (Grape bud mite - Eriophyidae),Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Neem oil 5ml/L spray,Release predatory mites,"Bifenazate, Fenpyroximate, Abamectin, Hexythiazox",Fenpyroximate 5EC @ 1ml/L,Abamectin 1.8EC @ 0.5ml/L,Hexythiazox 5EC @ 1ml/L,TNAU/ICAR Grape IPM
Common Rust,Corn (maize),Puccinia sorghi,Neem oil 5ml/L spray,Silicon foliar spray,Crop rotation with legumes,Trichoderma soil drench,Mancozeb 75WP @ 2.5g/L (TNAU),Propiconazole 25EC @ 1ml/L,Azoxystrobin 23SC @ 0.025%,Triadimefon 25WP @ 1g/L,TNAU/ICAR
corn borer,Maize / Sorghum,Chilo partellus / Ostrinia nubilalis (Pyralidae),Trichogramma release 50000/ha,BT 1kg/ha spray,Neem oil 5ml/L,Pheromone traps 10/ha,"Chlorpyrifos, Emamectin benzoate, Lambda-cyhalothrin, Spinosad",Emamectin benzoate 5SG @ 0.4g/L,Lambda-cyhalothrin 5EC @ 1ml/L,Spinosad 45SC @ 0.5ml/L,TNAU/ICAR
corn earworm,Maize / Tomato,Helicoverpa zea (Noctuidae),BT spray 1kg/ha,Trichogramma release 50000/ha,Pheromone traps 10/ha,Neem oil 5ml/L,"Bacillus thuringiensis, Carbaryl, Cypermethrin",Carbaryl 50WP @ 2g/L,Cypermethrin 25EC @ 1ml/L,Emamectin benzoate 5SG @ 0.4g/L,TNAU/ICAR
Cutting Weevil,Mango,Sternochetus mangiferae,Neem oil 5ml/L spray,Neem seed kernel extract (NSKE 5%) spray,Sticky barrier bands on tree trunks,Methyl eugenol pheromone traps 12-25/ha (ICAR-IIHR),Chlorpyrifos 20EC @ 2ml/L (TNAU crop list),Quinalphos 25EC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Dimethoate 30EC @ 2ml/L,TNAU Crop Pesticide List PDF / ICAR-IIHR
cutworm,Vegetables / Maize / Wheat,Agrotis spp. (Noctuidae),BT soil drench 1kg/ha,Neem cake 250kg/ha soil application,Light traps 2/ha,Deep summer ploughing,"Chlorpyrifos, Diazinon, Methomyl",Diazinon 50EC @ 2ml/L soil drench,Methomyl 40SP @ 1g/L,Chlorpyrifos 20EC @ 3ml/L soil drench,TNAU/ICAR
Dacus dorsalis(Hendel),Mango / Citrus / Guava,Bactrocera dorsalis (Oriental fruit fly - Tephritidae),Methyl eugenol pheromone traps 25/ha,Protein bait traps,Collect and destroy fallen fruits,Neem oil 5ml/L spray,"Malathion, Diazinon, Fenthion",Diazinon 50EC @ 2ml/L bait spray,Fenthion 50EC @ 2ml/L,Spinosad 45SC @ 0.5ml/L bait,TNAU/ICAR-IIHR Mango IPM
Dasineura sp,Multiple crops / Legumes,Dasineura sp. (Cecidomyiidae - gall midge),Neem oil 5ml/L spray,NSKE 5% spray,Prune and destroy galled plant parts,Light traps 2/ha,"Imidacloprid, Acephate, Chlorpyrifos",Imidacloprid 17.8SL @ 0.5ml/L,Acephate 75SP @ 1g/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
Deporaus marginatus Pascoe,Mango,Deporaus marginatus (Mango leaf webber - Attelabidae),Neem oil 5ml/L spray,NSKE 5% spray,Collect and destroy rolled leaves,Hand picking of adults,"Carbaryl, Chlorpyrifos, Imidacloprid",Carbaryl 50WP @ 2g/L,Chlorpyrifos 20EC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR Mango IPM
Die Back,Mango,Lasiodiplodia theobromae (Botryodiplodia),Bordeaux paste on pruning cuts,Neem oil 5ml/L spray,Prune 15cm below infected tissue; sterilize tools,Trichoderma viride wound dressing,Copper oxychloride 50WP @ 3g/L (TNAU),Carbendazim 50WP @ 1g/L,Thiophanate-methyl 70WP @ 1g/L,Copper hydroxide 77WP @ 2g/L (TNAU Fungicide),TNAU/ICAR
Downy Mildew,Pumpkin,Pseudoperonospora cubensis,Neem oil 5ml/L spray,Bordeaux mixture 1%,Baking soda spray 5g/L + soap,Trichoderma viride soil drench,Metalaxyl + Mancozeb 72WP @ 2.5g/L (Ridomil Gold),Cymoxanil 8%+Mancozeb 64% @ 2.5g/L,Fosetyl-Al 80WP @ 2.5g/L,Dimethomorph 50WP @ 1g/L,TNAU Fungicide PDF (Ridomil Gold data)
Early Blight,Potato,Alternaria solani,Neem oil 5ml/L spray,Bordeaux mixture 1%,Remove lower infected leaves,Trichoderma viride seed treatment,Mancozeb 75WP @ 1.25g/L (TNAU Fungicide PDF: 1250g/ha 1000L water),Captan 50WP @ 1.25kg/ha (TNAU),Chlorothalonil 75WP @ 0.875-1.25g/L (TNAU Fungicide PDF),Copper oxychloride 50WP @ 1.25g/L (TNAU Fungicide PDF),TNAU Fungicide Registration PDF
Early Blight,Tomato,Alternaria solani / A. alternata,Pseudomonas fluorescens + Trichoderma harzianum seed treatment @ 15-20g/kg (ICAR-NCIPM 2023),Bordeaux mixture 1% spray,Neem oil 5ml/L,Trichoderma viride FYM enriched @ 2kg/t,Mancozeb 75WP @ 2.5g/L (TNAU/ICAR-NCIPM),Captan 75WP @ 1.25g/L (TNAU Fungicide PDF),Azoxystrobin 23SC @ 500ml/ha (TNAU Fungicide PDF),Chlorothalonil 75WP @ 2g/L,ICAR-NCIPM 2023 / TNAU Fungicide PDF
english grain aphid,Wheat / Barley / Oat,Sitobion avenae (Aphididae),Neem oil 5ml/L spray,NSKE 5% spray,Release ladybird beetles,Soap water spray 10g/L,"Imidacloprid, Lambda-cyhalothrin, Pyrethroids",Lambda-cyhalothrin 5EC @ 1ml/L,Pyrethroids (Cypermethrin 25EC) @ 1ml/L,Dimethoate 30EC @ 2ml/L,TNAU/ICAR
Erythroneura apicalis,Grape / Vine,Erythroneura apicalis (Grape leafhopper - Cicadellidae),Neem oil 5ml/L spray,NSKE 5% spray,Yellow sticky traps 10/ha,Remove weed hosts,"Carbaryl, Diazinon, Malathion",Carbaryl 50WP @ 2g/L,Diazinon 50EC @ 2ml/L,Malathion 50EC @ 2ml/L,TNAU/ICAR Grape IPM
Esca (Black Measles),Grape,Phaeomoniella chlamydospora + Phaeoacremonium spp.,Trichoderma soil drench (ICAR),Bordeaux mixture 1% wound treatment,Pruning infected wood; paint cuts with copper paste,Wood ash + lime paste on pruning wounds,Tebuconazole 25EC @ 1ml/L (TNAU),Thiophanate-methyl 70WP @ 1g/L,Flusilazole 40EC @ 0.5ml/L,Carbendazim 50WP @ 300g/ha (TNAU Fungicide PDF),TNAU Fungicide PDF / ICAR
fall armyworm,Maize / Sorghum / Rice,Spodoptera frugiperda (Noctuidae),BT (Bacillus thuringiensis var. kurstaki) 1kg/ha,Spinosad 45SC is key biopesticide,Pheromone traps 10-12/ha,Trichogramma release 50000/ha,"Bacillus thuringiensis, Chlorantraniliprole, Spinosad",Chlorantraniliprole 18.5SC @ 0.3ml/L,Emamectin benzoate 5SG @ 0.4g/L,Spinetoram 11.7SC @ 0.5ml/L,ICAR-NCIPM FAW Management
Field Cricket,Multiple crops / Vegetable gardens,Gryllus spp. (Gryllidae),Neem oil soil drench,Deep ploughing,Light traps 2/ha,Remove crop debris,"Carbaryl, Permethrin, Cyfluthrin",Carbaryl 50WP @ 2g/L,Permethrin 25EC @ 1ml/L,Cyfluthrin 25WP @ 1g/L,TNAU/ICAR
flax budworm,Flax / Linseed,Heliothis ononis (Noctuidae),BT spray 1kg/ha,Neem oil 5ml/L,Pheromone traps 10/ha,Light traps 2/ha,"Chlorpyrifos, Methomyl, Pyrethroids",Methomyl 40SP @ 1g/L,Pyrethroids (Cypermethrin 25EC) @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
flea beetle,Vegetables / Crucifers / Brinjal,Phyllotreta striolata / Longitarsus spp. (Chrysomelidae),Neem oil 5ml/L spray,NSKE 5% spray,Row covers in nursery,Sticky yellow traps,"Imidacloprid, Thiamethoxam, Pyrethroids",Thiamethoxam 25WG @ 0.3g/L,Pyrethroids (Cypermethrin) @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
