Crop,Disease_Context,Nutrient_Category,Nutrient_Name,Chemical_Formula,Fertilizer_Source,Dose_Basal,Dose_Top_Dressing,Application_Method,Timing,Role_in_Disease_Resistance,Deficiency_Symptoms,Organic_Alternative,Source
Tomato,Soil-borne diseases,Biofertilizer,Pseudomonas fluorescens (PGPR),N/A,P. fluorescens talc formulation (IIHR-patented),2 kg/ha + 5g/L seedling dip,5 ml/L foliar spray,Seed/seedling treatment + foliar,At transplanting + 21-day intervals,Induced Systemic Resistance (ISR); controls bacterial wilt & root diseases,Not applicable,ICAR-IIHR / TNAU
Tomato,General growth,Biofertilizer,Phosphobacteria (P-solubilizing),N/A,Phosphobacteria culture 2 kg/ha,2 kg/ha mixed in FYM,Nil,Soil application at transplanting,At planting,Solubilizes fixed phosphorus; improves P availability; promotes root health,Not applicable,ICAR-NCIPM 2023
Rice,Blast / BrownSpot / Hispa,Macronutrient - Primary,Nitrogen (N),N,Urea (46% N); Neem-coated urea (NCU),80 kg N/ha (ICAR 2024); 150 kg N/ha (TNAU),Split: 20% at 15 DAS + 30% at tillering + 30% at PI + 20% at flowering,Soil application in splits,4 splits as per LCC value,Adequate N reduces susceptibility; excess N increases blast severity — use neem-coated urea,Yellowing of lower leaves; stunted tillers; poor grain filling,Green manure (Daincha/Sunhemp) 7.5-25 t/ha; Azospirillum 12 packets/ha,TNAU Rice Aerobic; ICAR 2024
Rice,BrownSpot (Zn deficiency linked),Micronutrient,Zinc (Zn),ZnSO4,Zinc Sulphate 33% (ZnSO4.7H2O),50 kg ZnSO4/ha basal (TNAU; ICAR 2020),0.5% ZnSO4 foliar spray thrice at 50% flowering / milky / dough stages,Soil basal + foliar spray,Basal at transplanting; 3 foliar sprays at reproductive stage,Zinc deficiency directly causes brown spot susceptibility; Zn deficiency in rice can reduce yield 20%,Khaira disease — interveinal chlorosis on young leaves; stunted roots; reduced tillers,Zinc-enriched compost; Jeevamrit spray,TNAU / ICAR 2020 / ICAR TNAU SSNM
Rice,Blast (Silicon is primary defense),Secondary-like nutrient,Silicon (Si),SiO2,Silica fertilizer (Rice husk ash); Calcium silicate; Wollastonite 100-200 kg/ha,100-200 kg/ha soil application,0.5% foliar spray,Soil incorporation + foliar spray,Basal at transplanting,Silicon is PRIMARY blast defense in rice — forms physical barrier in leaf cells; reduces Pyricularia oryzae penetration by 40-60%,Increased blast & BrownSpot susceptibility; weak culms; lodging,Rice husk ash (natural Si source); compost,TNAU/ICAR — Silicon in Rice Blast Management
Rice,All diseases / General,Macronutrient - Primary,Phosphorus (P),P2O5,DAP (18-46-0) or SSP,22 kg P/ha (TNAU SSNM PMC 2020); 40 kg P2O5/ha (ICAR RDF),All basal,Soil incorporation,Basal only,Promotes root growth & disease resistance,Purplish discoloration of leaves; thin weak tillers,Phosphobacteria 2 kg/ha; Rock phosphate in acid soils,TNAU SSNM / ICAR 2024
Rice,All diseases / General,Macronutrient - Primary,Potassium (K),K2O,MOP (Muriate of Potash 60% K2O),42 kg K/ha (TNAU SSNM); 40 kg K2O/ha (ICAR RDF),Split with nitrogen,Soil application,Split applications,K improves sheath blight resistance; increases silica uptake; reduces lodging,Leaf tip burn; weak stems; poor grain fill; increased disease susceptibility,Wood ash; compost,TNAU SSNM / ICAR 2024
Rice,Hispa / Blast / General,Biofertilizer,Azospirillum (N-fixing),N/A,Azospirillum biofertilizer 12 packets (2400g/ha),Seedling root dip 15-30 min + soil application,Repeat at 30 and 60 days,Seedling dip + soil application,At nursery + 30 DAT + 60 DAT,Saves 25% chemical N; promotes root growth; improves plant vigor; reduces stress vulnerability,Not applicable,TNAU Rice Production Guide; ICAR
Rice,Blast / BrownSpot,Biofertilizer,Pseudomonas fluorescens (Pf1 biopriming),N/A,TNAU Pf1 talc formulation 10g/kg seed,10g/kg seed biopriming,1% foliar spray at 45 & 60 DAS,Seed biopriming + foliar,At sowing + 45 + 60 DAS (TNAU JBC 2017),Biopriming with Pf1 reduces blast incidence significantly — Hexaconazole spray combo is most effective (TNAU study 2017),Not applicable,TNAU Journal Biological Control 2017
Sugarcane,RedRot / Rust / Yellow / Mosaic,Macronutrient - Primary,Nitrogen (N),N,Urea (46%) + Neem cake blend (75g cake per 100g urea),275 kg N/ha (coastal/flow irrigated); 225 kg N/ha (lift irrigated),3 equal splits at 30 + 60 + 90 days; or neem-cake blended urea saves 75 kg N/ha,Soil band placement,3 splits at 30 60 90 days after planting,Adequate N builds vigorous crop; excess N increases pest/disease incidence; neem-coated urea reduces leaching,Yellow leaves; stunted cane growth; poor tillering; low sugar content,Azospirillum 12 packets/ha 2x (30 and 60 days); Green manure daincha/sunhemp,TNAU Sugarcane Expert System
Sugarcane,All diseases,Macronutrient - Primary,Phosphorus (P),P2O5,SSP (16% P) or DAP,Super phosphate 375 kg/ha basal,Nil,Furrow application; DAP foliar spray 2%,Basal at planting,Promotes tillering; protein synthesis; root growth; improves juice quality,Poor root development; delayed maturity; low juice quality,Phosphobacteria; Press mud 37.5 t/ha (2.1-2.4% P2O5),TNAU Sugarcane Expert System
Sugarcane,Rust / All diseases / Stalk quality,Macronutrient - Primary,Potassium (K),K2O,MOP (Muriate of Potash 60% K2O),112.5 kg K2O/ha,Split with nitrogen,Soil application,3 splits at 30 60 90 days,K develops resistance to pests and diseases; sugar synthesis; lodging resistance; maintains cell turgidity under moisture stress,Leaf tip burn; poor sucrose content; lodging; increased pest susceptibility,Wood ash; banana stem compost,TNAU Sugarcane Expert System
Sugarcane,RedRot / Yellow,Micronutrient Mix,Micronutrient Mixture (Zn+Fe+Mn+Cu+B),Various,Micronutrient mixture: 20kg FeSO4 + 10kg MnSO4 + 10kg ZnSO4 + 5kg CuSO4 + 5kg Borax/ha (TNAU),50 kg/ha micronutrient mixture soil application,1-2.5% foliar urea + 2.5% K foliar spray,Soil application + foliar spray,Basal + foliar at grand growth stage,Zinc: enzyme biosynthesis; Boron: cell wall + sugar transport; Mn: protein synthesis; Fe: chlorophyll; Cu: lignin formation — all increase disease resistance,Various micronutrient deficiency symptoms specific to each element,FYM enriched with micronutrients; Press mud from sugar factory,TNAU Sugarcane Expert System
Sugarcane,Zinc deficiency linked diseases,Micronutrient,Zinc (Zn),ZnSO4,Zinc Sulphate 33%,37.5 kg ZnSO4/ha basal,0.5% ZnSO4 foliar spray,Soil basal,At planting,Enzyme biosynthesis; reduces susceptibility to diseases,Small leaves; interveinal chlorosis; stunted growth,Zinc-rich compost,TNAU Sugarcane Expert System
Sugarcane,Iron deficiency / disease stress,Micronutrient,Iron (Fe),FeSO4,Ferrous Sulphate 20%,100 kg FeSO4/ha basal (TNAU for iron-deficient soils),0.5% FeSO4 foliar spray with wetting agent,Soil + foliar,Basal + as needed,Central for chlorophyll formation; photosynthesis; disease recovery,Interveinal chlorosis of young leaves; pale green plants,Compost; vermicompost,TNAU Sugarcane Expert System
Sugarcane,General / biofertilizer,Biofertilizer,Azospirillum (N-fixing),N/A,Azospirillum biofertilizer (TNAU Biofert-1) 12 packets/ha,Mix with 25 kg FYM + 25 kg soil near clumps at 30 days,Repeat at 60 and 90 days near cane row,Soil application near clumps,30 + 60 + 90 days after planting,Saves 25% chemical N; promotes root growth; improves plant vigor,Not applicable,TNAU Sugarcane Expert System
Mango,Anthracnose / Die Back / Powdery Mildew,Macronutrient - Primary,Nitrogen (N),N,Urea (46%) or neem-coated urea,1 kg N/bearing tree (6th year onwards); Yr1: 0.2 kg/tree,2 splits: March + October,Circular basin 45-90 cm from trunk,March and October,Adequate N maintains healthy canopy reducing disease entry; urea 1% + ZnSO4 0.5% foliar spray increases yield,Yellow older leaves; sparse canopy; poor flowering,FYM 50 kg/tree; Azospirillum 20g/tree; neem cake,TNAU Fertilizer Schedule Fruit Crops PDF
Mango,Anthracnose / Disease resistance,Macronutrient - Primary,Phosphorus (P),P2O5,DAP (18-46-0) or SSP; 2% DAP foliar spray,1 kg P/bearing tree (6th year onwards),Nil (all basal in Oct),Incorporated in basin soil + foliar spray,October application,Root health; disease resistance; flowering support,Purple leaves; poor root growth; reduced fruit set,FYM; Phosphobacteria 20g/tree,TNAU Fertilizer Schedule Fruit Crops PDF
Mango,All diseases / Stalk strength,Macronutrient - Primary,Potassium (K),K2O,MOP (Muriate of Potash) or SOP,1.5 kg K/bearing tree (6th year onwards),Nil (all basal in Oct),Incorporated in basin,October application,Improves fruit quality; disease resistance; reduces susceptibility to Anthracnose,Leaf margin scorch; poor fruit quality; small fruits,Wood ash; banana peel compost,TNAU Fertilizer Schedule Fruit Crops PDF
Mango,Sooty Mould / Dieback / Yield boost,Micronutrient,Zinc (Zn),ZnSO4,Zinc Sulphate 33%,50 kg ZnSO4/ha soil for orchards,0.5% ZnSO4 spray — twice a year: March + October (TNAU Guava/Mango),Foliar spray,March + October (at new flush emergence),Reduces button shedding; improves fruit quality; enzyme activation; reduces disease susceptibility,Small leaves; interveinal chlorosis; button shedding; fruit cracking,Zinc-enriched FYM,TNAU Fertilizer Fruit Crops PDF / TNAU Coconut Expert System
Mango,Fruit cracking / Boron deficiency diseases,Micronutrient,Boron (B),H3BO3 / Na2B4O7,Borax (11% B) or Boric acid,Borax 10 kg/ha for orchards,0.3% Borax spray at flowering + fruit set,Soil basal + foliar spray,Basal + at flowering and fruit set,Prevents fruit cracking; improves fruit set; cell division; sugar transport — reduces post-harvest anthracnose susceptibility,Reduction in leaf size; fruit cracking and hardening (TNAU Guava data),Compost rich in organic matter; vermicompost,TNAU Fertilizer Fruit Crops PDF
Mango,Sooty Mould / General,Secondary Macronutrient,Sulfur (S),S,Gypsum (18% S) or potassium sulfate,400 kg Gypsum/ha,Nil,Soil incorporation,Basal,Amino acid synthesis; juice quality improvement; mild antifungal,Yellowing of young leaves; reduced protein,Mustard cake (contains S),ICAR / TNAU
Mango,General / biofertilizer,Biofertilizer,Azospirillum + Phosphobacteria,N/A,Azospirillum + Phosphobacteria biofertilizer 20g each/tree,20g each at planting + 5 months after planting,Nil,Soil application near trunk,At planting and 5 months after planting,Saves chemical fertilizer; promotes root health; improves P availability; reduces disease stress,Not applicable,TNAU Fertilizer Fruit Crops PDF
Potato,Early Blight / Late Blight,Macronutrient - Primary,Nitrogen (N),N,Urea (46%) or DAP,60 kg N/ha basal,60 kg N/ha at 30 DAS,2 equal splits: basal + 30 DAS,Basal + 30 DAS top dressing,N stress increases blight susceptibility; balanced N builds resistance,Yellow older leaves; stunted growth; poor tuber formation,FYM 15 t/ha; Azospirillum 2 kg/ha,TNAU Fertilizer Schedule Vegetables PDF
Potato,Early Blight / Late Blight,Macronutrient - Primary,Phosphorus (P),P2O5,DAP or SSP; 75% as SSP basal (TNAU fertigation),120 kg P/ha (TNAU fertigation); 240 kg P/ha (TNAU soil),75% as SSP basal; 25% through fertigation,Soil incorporation basal,Basal at planting,Root development; disease resistance; tuber formation,Purplish leaves; poor tuber set; delayed maturity,Phosphobacteria 2 kg/ha; rock phosphate,TNAU Fertilizer Schedule Vegetables PDF + Fertigation PDF
Potato,Early Blight / Late Blight,Macronutrient - Primary,Potassium (K),K2O,MOP or SOP (potassium sulphate),60 kg K/ha basal,60 kg K/ha at 30 DAS,2 splits with nitrogen,Basal + 30 DAS,Increases cell wall strength; improves disease resistance to blight; tuber quality,Leaf margin burn; poor tuber size; watery tubers; increased blight susceptibility,Wood ash; compost,TNAU Fertilizer Schedule Vegetables PDF
Potato,All diseases / Soil health,Secondary Macronutrient,Magnesium (Mg),MgSO4,Magnesium Sulphate (Epsom Salt),60 kg MgSO4/ha basal (TNAU specific for potato),2% MgSO4 foliar spray,Soil basal + foliar,Basal at planting,Central element of chlorophyll; photosynthesis efficiency; recovery from blight stress,Interveinal chlorosis of older leaves; premature leaf drop,Dolomite; compost,TNAU Fertilizer Schedule Vegetables PDF — "Apply Magnesium sulphate at 60 kg/ha as basal"
Cotton,Bacterial Blight / Aphids / General,Macronutrient - Primary,Nitrogen (N),N,Urea (46%) or DAP; Neem-coated urea preferred,N varies 60-120 kg/ha,Split application 3-4 doses,Soil application in bands,Basal + 3-4 splits,Balanced N builds strong plants; excess N increases sucking pest & disease problems; NCU reduces pest susceptibility,Yellow older leaves; stunted growth; poor boll formation,FYM; neem cake 250 kg/ha; Azospirillum,ICAR / TNAU
Cotton,Aphids / Bacterial Blight / Fiber quality,Macronutrient - Primary,Potassium (K),K2O,MOP or SOP,60-80 kg K/ha,Split application,Soil application,Basal + top dressing,K improves cell wall strength; boll formation; fiber quality; resistance to bacterial blight,Leaf margin scorch; poor boll formation; reduced fiber strength,Wood ash; compost,ICAR / TNAU — "Cotton performs well with NPK 20-10-10 or 15-15-15"
Cotton,General growth,Macronutrient - Primary,Phosphorus (P),P2O5,DAP or SSP,30-60 kg P/ha basal,Nil,Soil basal,Basal at sowing,Root development; protein synthesis; early crop establishment,Purple discoloration; poor root growth; delayed boll opening,Phosphobacteria 2 kg/ha,ICAR / TNAU
Cotton,Boron-deficiency disorders,Micronutrient,Boron (B),H3BO3,Borax (11% B) or Boric acid,10 kg Borax/ha basal,0.2% Boric acid foliar spray at flowering,Soil basal + foliar,Basal + at flowering,Prevents boll shedding; improves fruit set; cell division; reduces susceptibility to Botrytis,Distorted growing tips; boll shedding; aborted flowers,Compost; vermicompost,ICAR / TNAU
Corn (Maize),Gray Leaf Spot / Common Rust / Northern Leaf Blight,Macronutrient - Primary,Nitrogen (N),N,Urea (46%) or DAP,75-100 kg N/ha,Split application (50% basal + 50% top dressing),Soil application,Basal + knee-high (V6) stage top dressing,Balanced N improves photosynthesis; N stress increases rust and blight susceptibility; excess N increases gray leaf spot,Yellowing of lower leaves; stunted growth; poor grain fill,Green manure; FYM 10-15 t/ha; Azospirillum,ICAR / TNAU
Corn (Maize),Rust / Blight / General,Macronutrient - Primary,Phosphorus (P),P2O5,DAP or SSP,60 kg P/ha basal,Nil,Soil basal,Basal at sowing,Root development; early vigor; disease resistance,Purple discoloration; delayed tasseling,Phosphobacteria 2 kg/ha,ICAR / TNAU
Corn (Maize),Rust / Blight,Secondary-like nutrient,Silicon (Si),SiO2,Rice husk ash; Calcium silicate,100 kg/ha soil application,0.5% foliar spray,Soil application,Basal,Si strengthens leaf surface cells reducing rust spore penetration; reduces gray leaf spot severity,Weak culms; lodging; increased rust susceptibility,Rice husk ash (natural Si source),ICAR
Grape,Downy Mildew / Black Rot / Powdery Mildew / Anthracnose,Macronutrient - Primary,Nitrogen (N),N,Urea (46%); foliar Urea 1%,20-60 g N/vine/year (Year I-III; TNAU Muscat data),2 splits after pruning,Basin application; foliar spray,After pruning (2x); Foliar spray before flowering,Balanced N maintains healthy canopy; excess N increases gray mold susceptibility; Urea 1% foliar increases yield,Yellow older leaves; stunted shoot growth,FYM 50-100 kg/vine; Azospirillum 20g/vine,TNAU Fertilizer Fruit Crops PDF
Grape,Downy Mildew / All diseases,Macronutrient - Primary,Phosphorus (P),P2O5,DAP or SSP,8-24 g P/vine/year (Year I-III TNAU),After pruning,Basin application,After pruning applications,Root health; improves disease resistance,Purple leaves; poor root growth; poor grape set,Phosphobacteria; FYM,TNAU Fertilizer Fruit Crops PDF
Grape,Powdery Mildew / All diseases,Macronutrient - Primary,Potassium (K),K2O,MOP or KNO3,30-60 g K/vine/year + half dose immediately after pruning + half at 60 days (TNAU),2 splits after pruning; KNO3 2% spray,Soil basal + foliar KNO3 spray,After pruning (2 splits); foliar spray,K improves berry quality; strengthens cell walls against powdery mildew and gray mold,Leaf margin burn; poor berry quality; increased disease susceptibility,Wood ash; compost,TNAU Fertilizer Fruit Crops PDF
Grape,Boron deficiency / Fruit set,Micronutrient,Boron (B),H3BO3,Boric acid (17% B),Foliar: 0.1% Boric acid + 0.2% ZnSO4 + 1.0% Urea combined spray (TNAU),Twice before flowering and 10 days after 1st spray,Foliar spray combined,Before flowering (2x),Improves fruit set; cell division; reduces coulure (berry drop); prevents Botrytis susceptibility,Distorted growing tips; poor berry set; dead growing tips,Compost rich in organic matter,TNAU Fertilizer Fruit Crops PDF — specific recommendation
Grape,Anthracnose / Leaf spot,Micronutrient,Zinc (Zn),ZnSO4,Zinc Sulphate 33%,In combo foliar spray: 0.2% ZnSO4 + 0.1% Boric acid + 1% Urea (TNAU),Twice before flowering,Foliar spray,Before flowering (2x),Enzyme activation; berry quality; disease resistance,Small leaves; interveinal chlorosis; poor fruit set; zigzag shoot growth,Zinc-enriched compost,TNAU Fertilizer Fruit Crops PDF
Apple,Apple Scab / Cedar Rust / Black Rot,Macronutrient - Primary,Nitrogen (N),N,Urea (46%) or Ammonium sulphate; Foliar urea 1-2%,500 g N/bearing tree,2 splits: spring + after fruit set,Basin application; foliar spray,Spring + post-fruit set; foliar for deficiency correction,Balanced N supports healthy canopy; excess N increases scab & fire blight susceptibility,Pale green leaves; small fruits; reduced shoot growth,FYM 25 kg/tree; neem cake,TNAU Fertilizer Fruit Crops PDF
Apple,All diseases,Macronutrient - Primary,Phosphorus (P),P2O5,SSP or DAP,1 kg P/bearing tree,Nil (all Oct),Basin incorporation in October,October,Root health; disease resistance; fruit quality,Purple discoloration; poor root growth; small fruits,Phosphobacteria 20g/tree; FYM,TNAU Fertilizer Fruit Crops PDF
Apple,Apple Scab / Fruit quality,Macronutrient - Primary,Potassium (K),K2O,MOP or SOP,1 kg K/bearing tree,Nil (all Oct),Basin incorporation in October,October,Cell wall strength; fruit quality; disease resistance to scab,Leaf margin scorch; poor fruit quality; bitter pit disorder,Wood ash; compost,TNAU Fertilizer Fruit Crops PDF
Strawberry,Leaf Scorch / General,Macronutrient - Primary,Nitrogen (N),N,Urea or Ammonium Sulphate,8 g N/plant (TNAU Strawberry data),2 splits: October + February,Basin application,October + February,N balance critical for disease resistance; excess N increases gray mold susceptibility,Yellow leaves; poor runner production,FYM 3 kg/m2; vermicompost,TNAU Fertilizer Fruit Crops PDF
Strawberry,Leaf Scorch / All diseases,Macronutrient - Primary,Phosphorus (P),P2O5,DAP or SSP,8 g P/plant,October + February,Basin application,October + February,Root health; disease resistance,Purple discoloration; poor runner production,Phosphobacteria; FYM,TNAU Fertilizer Fruit Crops PDF
Strawberry,Leaf Scorch / All diseases,Macronutrient - Primary,Potassium (K),K2O,MOP or SOP,8 g K/plant,October + February,Basin application,October + February,Cell wall; disease resistance; berry quality,Leaf margin scorch; poor berry quality,Wood ash; compost,TNAU Fertilizer Fruit Crops PDF
Pumpkin,Downy Mildew / Mosaic / Bacterial Leaf Spot,Macronutrient - Primary,Nitrogen (N),N,Urea (46%) or DAP,10 g N/pit basal,10 g N/pit at 30 DAS,Pit application (10 kg FYM/pit),Basal + 30 DAS,Balanced N maintains canopy health; virus-stressed plants need adequate N to recover,Yellow leaves; stunted vines; poor fruit set,FYM 10 kg/pit; neem cake 250 g/pit,TNAU Fertilizer Vegetables PDF
Pumpkin,Downy Mildew / Mosaic / Bacterial Leaf Spot,Macronutrient - Primary,Phosphorus (P),P2O5,NPK 6:12:12 complex (100g/pit) or SSP,NPK 6:12:12 @ 100g/pit basal,Nil,Pit application basal,Basal at sowing,Root development; disease resistance,Purple discoloration; poor root growth,Phosphobacteria 2g/pit; rock phosphate,TNAU Fertilizer Vegetables PDF
Pumpkin,All diseases,Macronutrient - Primary,Potassium (K),K2O,MOP or NPK 6:12:12 complex,NPK 6:12:12 @ 100g/pit basal,Nil,Pit application basal,Basal at sowing,Cell wall strength; disease resistance; fruit quality,Leaf margin scorch; wilting; poor fruit quality,Wood ash; compost,TNAU Fertilizer Vegetables PDF
General/All Crops,All diseases — growth regulator,Growth Promoter,Triacontanol,C30H61OH,Triacontanol 0.05% EC (TNAU patented),Nil,1.25 ppm spray (1.25 mg/L),Foliar spray,30 DAT + full bloom stage (tomato),Increases yield; improves photosynthesis efficiency; helps disease-stressed plants recover; enhances growth,Not applicable,TNAU Fertilizer Vegetables PDF (Tomato data)
General/All Crops,Virus diseases — vector management,Micronutrient,Potassium (K) — foliar for virus-infected plants,K2O,KNO3 (potassium nitrate 13:0:45) — 2% foliar spray,Nil (foliar only),2% KNO3 foliar spray (TNAU Sugarcane + Ber data),Foliar spray,At stress / after disease appearance,K helps virus-infected plants maintain cell turgidity; slows symptom progression; improves photosynthate transport,Leaf margin scorch; wilting; rapid virus symptom spread,Wood ash water extract (20%) foliar spray,TNAU Ber + Sugarcane Expert System
General/All Crops,All diseases — general immunity,Secondary Macronutrient,Calcium (Ca),CaCO3 / Ca(NO3)2,Calcium Nitrate (15.5% Ca) or Agricultural Lime / Dolomite,Agricultural lime as per soil pH (200-500 kg/ha); Dolomite 250 kg/ha,0.5% Calcium Nitrate foliar spray,Soil incorporation + foliar spray,Pre-planting soil correction; foliar at fruit set stage,Strengthens cell walls; prevents entry of bacterial pathogens; reduces post-harvest diseases; corrects soil pH to reduce fungal disease,Tip burn; blossom end rot; cavity in fruit; calcium-deficiency chlorosis in young leaves,Agricultural lime; dolomite; organic compost,TNAU / ICAR
General/All Crops,Rust / Powdery Mildew — sulfur as fungicide,Secondary Macronutrient,Sulfur (S),S,Wettable Sulfur 80WP (3g/L); Elemental Sulfur dust; Gypsum 18% S,400 kg Gypsum/ha for soil,Wettable Sulfur 80WP @ 3g/L foliar spray; Sulfur dust 25 kg/ha,Soil basal + foliar spray + dusting,Basal + at first signs of powdery mildew / rust,Sulfur is BOTH a nutrient AND a fungicide — prevents powdery mildew and rust in mango cherry grape pumpkin; amino acid synthesis,Yellow young leaves; reduced protein; reduced fruit setting,Mustard cake (natural S source); compost,TNAU Fungicide PDF + ICAR
General/All Crops,All diseases,Biofertilizer,Vermicompost,N/A,Vermicompost,500-1000 kg/ha,Nil,Soil incorporation,Before planting,Improves soil microbiome; suppresses soil-borne pathogens; releases nutrients slowly; improves water retention; strengthens plants against diseases,Not applicable (improves overall soil health),Source itself is organic,ICAR-NCIPM 2023 — "1 tonne vermicompost per ha to main field before transplanting"
General/All Crops,All diseases,Biofertilizer,Farm Yard Manure (FYM),N/A,Well-decomposed FYM (0.5% N + 0.2% P2O5 + 0.5% K2O),12.5-50 t/ha crop-wise,Nil,Soil incorporation,Before planting (last ploughing),Improves soil structure; releases micronutrients; supports biocontrol microorganisms; reduces soil-borne disease pressure,Not applicable (improves overall soil health),Source itself is organic,TNAU All Fertilizer Schedules
General/All Crops,All diseases,Biofertilizer,Neem Cake,N/A,Neem cake (organic — 5.2% N + 1% P + 1.4% K + neem metabolites),250-500 kg/ha soil application,Nil,Soil incorporation,Before planting + at transplanting,Suppresses nematodes; fungal pathogens; soil insects; releases N slowly; acts as both fertilizer and biopesticide,Not applicable,ICAR-NCIPM 2023 — "Soil application of 500 kg Neem cake against bacterial wilt + nematodes"
General/All Crops,Micronutrient deficiency linked diseases,Micronutrient,Manganese (Mn),MnSO4,Manganese Sulphate 28%,10 kg MnSO4/ha in micronutrient mixture basal,0.05% MnSO4 foliar spray (TNAU Orange),Soil basal + foliar,Basal + foliar at vegetative stage,Enzyme activator; protein synthesis; increases disease resistance; photosynthesis cofactor,Interveinal chlorosis of young leaves; brown necrotic spots on young tissue,Compost; green manure,TNAU Orange Fertilizer + Sugarcane Expert System
General/All Crops,Fungal diseases — copper as both nutrient and fungicide,Micronutrient,Copper (Cu),CuSO4,Copper Sulphate (Bordeaux mixture); CuSO4 25 kg/ha soil for deficient soils,25 kg CuSO4/ha soil (for deficient soils),Bordeaux mixture 1% foliar spray,Soil application + foliar spray (Bordeaux),At deficiency detection; Bordeaux preventive at disease start,Copper is BOTH a micronutrient AND a fungicide — enzyme systems; lignin formation in cell walls; direct antifungal activity as Bordeaux mixture,Bluish discoloration of leaves; poor lignification; weak stems; rolling of terminal leaves,Compost; green manure,TNAU Coconut Expert System + TNAU Fungicide PDF
